investigator,url,veg_class,location,plotid,subsample,plot_type,plot_size,year,NPP
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1986,258.45
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1986,270.59
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1986,239.07
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1986,258.48
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1986,261.49
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1986,297.25
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1986,303.10
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1986,188.07
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1986,230.87
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1986,234.40
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1986,303.60
