"season","point_ID","max.dep"
2005,13,320
2005,14,210
2005,15,210
2005,16,130
2005,17,60
2005,18,15
2005,19,15
2005,20,10
2005,21,315
2005,22,300
2005,23,300
2005,24,270
2005,25,150
2005,26,130
2005,27,100
2005,28,120
2005,29,10
2005,30,20
2005,31,305
2005,32,270
2005,33,310
2005,34,265
2005,35,220
2005,36,80
2005,37,110
2005,38,200
2005,39,10
2005,40,20
2005,41,250
2005,42,300
2005,43,440
2005,44,285
2005,45,320
2005,46,245
2005,47,65
2005,48,30
2005,49,50
2005,50,20
2005,51,200
2005,52,250
2005,53,340
2005,54,315
2005,55,440
2005,56,430
2005,57,60
2005,58,40
2005,59,20
2005,60,40
2005,61,110
2005,62,210
2005,63,320
2005,64,300
2005,65,455
2005,66,400
2005,67,70
2005,68,60
2005,69,40
2005,70,40
2005,71,200
2005,72,200
2005,73,340
2005,74,380
2005,75,380
2005,76,400
2005,77,160
2005,78,30
2005,79,80
2005,80,80
2005,101,10
2005,201,10
2005,301,10
2005,401,10
2005,501,20
2005,601,40
2005,701,10
2005,801,30
2006,1,230
2006,2,230
2006,3,220
2006,4,170
2006,5,210
2006,6,180
2006,7,20
2006,8,30
2006,9,30
2006,10,0
2006,11,270
2006,12,220
2006,13,320
2006,14,240
2006,15,150
2006,16,90
2006,17,40
2006,18,10
2006,19,5
2006,20,0
2006,21,260
2006,22,230
2006,23,315
2006,24,320
2006,25,140
2006,26,50
2006,27,55
2006,28,140
2006,29,5
2006,30,0
2006,31,210
2006,32,245
2006,33,345
2006,34,320
2006,35,260
2006,36,75
2006,37,80
2006,38,220
2006,39,10
2006,40,0
2006,41,140
2006,42,230
2006,43,320
2006,44,335
2006,45,355
2006,46,360
2006,47,60
2006,48,16
2006,49,35
2006,50,5
2006,51,140
2006,52,75
2006,53,270
2006,54,325
2006,55,400
2006,56,345
2006,57,40
2006,58,30
2006,59,10
2006,60,50
2006,61,60
2006,62,140
2006,63,280
2006,64,180
2006,65,400
2006,66,405
2006,67,290
2006,68,50
2006,69,40
2006,70,10
2006,71,100
2006,72,110
2006,73,210
2006,74,360
2006,75,340
2006,76,390
2006,77,160
2006,78,100
2006,79,30
2006,80,50
2006,101,0
2006,201,0
2006,301,0
2006,401,0
2006,501,20
2006,601,5
2006,701,0
2006,801,0
2007,1,210
2007,2,180
2007,3,230
2007,4,95
2007,5,100
2007,6,100
2007,7,15
2007,8,35
2007,9,70
2007,10,10
2007,11,230
2007,12,260
2007,13,220
2007,14,140
2007,15,115
2007,16,65
2007,17,40
2007,18,10
2007,19,20
2007,20,10
2007,21,200
2007,22,175
2007,23,245
2007,24,220
2007,25,100
2007,26,50
2007,27,160
2007,28,140
2007,29,10
2007,30,30
2007,31,140
2007,32,220
2007,33,215
2007,34,250
2007,35,200
2007,36,50
2007,37,80
2007,38,195
2007,39,110
2007,40,30
2007,41,240
2007,42,145
2007,43,255
2007,44,235
2007,45,335
2007,46,180
2007,47,60
2007,48,25
2007,49,40
2007,50,20
2007,51,90
2007,52,100
2007,53,230
2007,54,225
2007,55,300
2007,56,355
