year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
2014,7/14/2014,20,A,FF,97,0
2014,7/14/2014,20,B,FF,111,0
2014,7/14/2014,101,A,FF,96,0
2014,7/14/2014,101,B,FF,147,0
2014,7/14/2014,201,A,FF,91,0
2014,7/14/2014,201,B,FF,106,0
2014,7/15/2014,29,A,FF,127,0
2014,7/15/2014,29,B,FF,90,0
2014,7/16/2014,58,A,FF,162,0
2014,7/16/2014,58,B,FF,103,0
2014,8/7/2014,51,A,FF,172,0
2014,8/7/2014,51,B,FF,145,0
2015,7/13/2015,10,A,FF,212,0
2015,7/13/2015,10,B,FF,111,0
2015,7/13/2015,101,A,FF,98,0
2015,7/13/2015,101,B,FF,108,0
2015,7/13/2015,201,A,FF,194,0
2015,7/13/2015,201,B,FF,161,0
2015,7/17/2015,19,A,FF,222,0
2015,7/17/2015,19,B,FF,220,0
2015,7/17/2015,20,A,FF,133,0
2015,7/17/2015,20,B,FF,109,0
2015,7/20/2015,29,A,FF,169,0
2015,7/20/2015,29,B,FF,199,0
2015,8/4/2015,58,A,FF,219,0
2015,8/4/2015,58,B,FF,171,0
2015,8/26/2015,51,A,FF,145,0
2015,8/26/2015,51,B,FF,51,0
2016,7/6/2016,19,A,FF,185,0
2016,7/6/2016,19,B,FF,142,0
2016,7/6/2016,20,A,FF,121,0
2016,7/6/2016,20,B,FF,80,0
2016,7/13/2016,10,A,FF,210,0
2016,7/13/2016,10,B,FF,64,0
2016,7/13/2016,101,A,FF,87,0
2016,7/13/2016,101,B,FF,79,0
2016,7/13/2016,201,A,FF,56,0
2016,7/13/2016,201,B,FF,110,0
2016,7/18/2016,29,A,FF,199,0
2016,7/18/2016,29,B,FF,416,0
2016,7/18/2016,58,A,FF,115,0
2016,7/18/2016,58,B,FF,101,0
2016,8/2/2016,51,B,FF,67,0
2016,8/5/2016,51,A,FF,212,0
2017,7/5/2017,10,A,FF,113,0
2017,7/5/2017,10,B,FF,61,0
2017,7/10/2017,20,A,FF,131,0
2017,7/10/2017,20,B,FF,49,0
2017,7/10/2017,51,A,FF,162,0
2017,7/10/2017,51,B,FF,124,0
2017,7/19/2017,19,A,FF,120,0
2017,7/19/2017,19,B,FF,57,0
2017,7/24/2017,29,A,FF,140,0
2017,7/24/2017,29,B,FF,124,0
2017,8/30/2017,58,A,FF,212,0
2017,8/30/2017,58,B,FF,151,0
2017,8/30/2017,101,A,FF,118,0
2017,8/30/2017,101,B,FF,161,0
2017,8/30/2017,201,A,FF,101,0
2017,8/30/2017,201,B,FF,112,0
2018,6/18/2018,29,A,FF,197.7,0
2018,6/25/2018,10,A,FF,165.5,0
2018,6/25/2018,10,B,FF,219.4,0
2018,6/25/2018,19,A,FF,212.6,0
2018,6/25/2018,19,B,FF,192.7,0
2018,6/25/2018,20,A,FF,207,0
2018,6/25/2018,20,B,FF,117,0
2018,6/25/2018,29,B,FF,176.6,0
2018,6/25/2018,101,A,FF,261.6,0
2018,6/25/2018,101,B,FF,63.4,0
2018,6/25/2018,201,A,FF,199.4,0
2018,6/25/2018,201,B,FF,216.3,0
2018,6/27/2018,58,A,FF,158,0
2018,6/27/2018,58,B,FF,152,0
2018,7/18/2018,51,A,FF,76.9,0
2018,7/18/2018,51,B,FF,73.2,0
1992,NaN,2,none,MM,292,1
1992,NaN,3,none,MM,258,1
1992,NaN,4,none,MM,149,1
1992,NaN,8,none,MM,175,1
1992,NaN,17,none,MM,155,1
1992,NaN,22,none,MM,210,1
1992,NaN,25,none,MM,174,1
1992,NaN,26,none,MM,217,1
1992,NaN,27,none,MM,334,1
1992,NaN,36,none,MM,226,1
1992,NaN,43,none,MM,91,1
1992,NaN,46,none,MM,222,1
1992,NaN,49,none,MM,137,1
1992,NaN,52,none,MM,330,1
1992,NaN,53,none,MM,66,1
1992,NaN,60,none,MM,136,1
1992,NaN,61,none,MM,391,1
1992,NaN,64,none,MM,230,1
1992,NaN,67,none,MM,395,1
1992,NaN,72,none,MM,168,1
1992,NaN,73,none,MM,231,1
1992,NaN,74,none,MM,124,1
1992,NaN,75,none,MM,57,1
1992,NaN,79,none,MM,92,1
1992,NaN,80,none,MM,135,1
1993,NaN,2,none,MM,136,1
